ps_wcode,ps_c_code,treatment,bl_age,edu_cat,religion,bl_quint_all,bl_quint_missing,bl_homeland,bl_agland,bl_cropsr,impute_ag,bl_dds_m,bl_mdd,impute_dd,bl_market,impute_market,bl_lefthome,bl_income,bl_ss_cont,bl_huscomm_cont,bl_extcomm_cont,bl_dec_cont,bl_lefthome_m,bl_ss_cont_m,bl_huscomm_cont_m,bl_extcomm_cont_m,bl_dec_cont_m,bl_income_m,dds_avg,mdd_avg,gardenprac,cropsr,poultrynum_avg,poultryegg_avg,knfg_score_el,knowscore,el_emp_market,el_emp_buygoods,el_emp_soldgoods,el_emp_buymarket,el_dec_income,el_selfefficacy,el_lefthome,el_income,el_ss_cont,el_huscomm_cont,el_extcomm_cont,el_dec_cont,el_network_cont
1504,157,0,21,1,2,2,0,5,0,15,0,2,0,0,0,0,0,0,1.6,2,1.6666666,1.2,0,1.6,2,1.6666666,1.2,0,4,.5,3,5,0,0,3,3,0,0,0,0,1,1,1,0,1.6,1.2,1.3333334,1.6,.03773585
1505,157,0,28,3,2,1,0,32,0,8,0,4,0,0,1,0,0,0,1.6,2,0,1.2,0,1.6,2,0,1.2,0,4.3333335,.33333334,4,5.6666665,0,0,,,,,,,0,1,,,,,,.80000001,.075471699
1507,157,0,27,1,2,1,0,15,0,2,0,3,0,0,0,0,1,1,1.6,2,0,.80000001,1,1.6,2,0,.80000001,1,5,.5,4,7.25,0,0,,2,2,1,0,1,,0,0,1,1.2,2,1.3333334,,0
1509,157,0,22,0,2,4,0,77,308,2,0,4,0,0,1,0,0,0,2,1.6,0,1.2,0,2,1.6,0,1.2,0,4,.25,5,4.4000001,3.5,17.5,2,2,1,1,0,0,0,1,0,0,1.6,1.6,1,.40000001,.11320755
1510,157,0,28,0,2,1,0,28,0,11,0,5,1,0,1,0,1,1,2,2,0,1.6,1,2,2,0,1.6,1,3.75,.25,7,8.6000004,0,0,3,3,2,1,0,1,0,0,0,0,2,2,1,1.2,.11320755
1511,157,0,31,0,2,1,0,5,0,19,0,4,0,0,0,0,0,0,1.6,2,0,2,0,1.6,2,0,2,0,3.25,.25,6,6.1999998,0,0,2,2,0,0,0,0,0,1,0,0,2,1.6,1,2,.41509435
1512,157,0,23,3,2,1,0,14,0,4,0,5,1,0,0,0,0,0,2,2,0,.80000001,0,2,2,0,.80000001,0,2.5,0,3,2,0,0,,,,,,,,0,,,,,,,0
1513,157,0,26,0,2,3,0,45,196,17,0,4,0,0,0,0,0,0,2,1.6,0,.40000001,0,2,1.6,0,.40000001,0,4.25,.25,6,8.8000002,1,7,2,2,1,0,1,0,1,1,0,1,1.6,1.6,1.3333334,2,.67924529
1514,157,0,20,1,2,3,0,54,0,13,0,4.1111112,,1,0,0,0,0,2,2,.66666669,0,0,2,2,.66666669,0,0,5.5,1,3,6,4.5,17.5,1,2,0,0,0,0,0,1,0,0,2,2,1.6666666,1.2,.3018868
2065,176,1,19,3,1,2,1,8.2864914,81.982452,5.5263157,1,3.8928571,,1,.49122807,1,,,,,,,.42105263,1.7754385,1.7,.28654972,.82807016,.10526316,3.5,0,5,4.6666665,0,0,,3,,,,,0,1,,,,,,.40000001,0
2066,176,1,33,1,1,2,0,4,0,6,0,5,1,0,2,0,1,1,2,2,0,1.2,1,2,2,0,1.2,1,5.5,1,0,1.5,0,0,,2,2,1,1,0,,,0,0,2,2,1.6666666,,
2067,176,1,22,1,1,4,0,12,308,6,0,5,1,0,0,0,0,0,2,2,0,.80000001,0,2,2,0,.80000001,0,3.5,0,2,2.4000001,0,0,,2,0,0,0,0,0,1,0,0,1.2,2,2,1.2,0
2068,176,1,27,1,1,1,0,2,0,5,0,2,0,0,0,0,0,0,2,,.33333334,.80000001,0,2,1.7,.33333334,.80000001,0,3,0,5,6.5999999,1,2,,2,1,1,0,0,0,1,1,0,2,2,1.3333334,1.2,.1509434
2069,176,1,26,3,1,4,0,5,336,3,0,4,0,0,0,0,0,0,2,1.2,1.3333334,.40000001,0,2,1.2,1.3333334,.40000001,0,4.75,.5,9,2.5999999,3.5,9,,2,2,1,0,1,0,1,0,0,2,2,1.6666666,1.2,.64150941
2070,176,1,21,3,1,5,0,45,600,8,0,3,0,0,0,0,0,0,2,1.2,0,.40000001,0,2,1.2,0,.40000001,0,3.5,.25,3,3.2,0,0,,2,2,1,0,1,0,0,1,0,2,2,1,.80000001,.26415095
2072,176,1,27,2,1,2,0,7,0,1,0,3,0,0,0,0,1,0,2,1.2,0,.40000001,1,2,1.2,0,.40000001,0,3.75,.25,3,2.2,6.5,11,,2,2,1,0,1,1,1,0,1,2,2,1.3333334,2,.71698111
2073,176,1,32,0,1,2,0,4.3299999,0,5,0,3,0,0,0,0,0,0,1.6,1.6,0,.80000001,0,1.6,1.6,0,.80000001,0,3,0,2,2.2,3,3,,1,0,0,0,0,1,1,0,0,.80000001,1.2,1,1.2,0
2074,176,1,24,0,1,1,0,4,0,2,0,1,0,0,0,0,0,0,2,1.6,.66666669,0,0,2,1.6,.66666669,0,0,4,0,,5,,,,,,,,,1,1,,,,,,1.2,.11320755
2075,176,1,29,0,1,2,0,4.5,168,2,0,3,0,0,0,0,1,0,2,2,0,1.2,1,2,2,0,1.2,0,3.75,0,6,4,1,6,,2,1,1,0,0,1,1,0,1,2,2,1.6666666,.80000001,0
2076,176,1,28,1,1,1,0,5,0,5,0,3,0,0,1,0,0,0,2,2,0,2,0,2,2,0,2,0,4.5,.5,9,9.3999996,2,1,,1,0,0,0,0,0,1,1,0,1.6,2,1,2,.3018868
2077,176,1,23,0,1,1,0,4,0,3,0,3,0,0,0,0,0,0,2,1.2,.66666669,0,0,2,1.2,.66666669,0,0,3,0,0,2,2,14,,1,,,,,,,,,,,,,0
2078,176,1,32,1,1,1,0,2,0,3,0,2,0,0,0,0,0,0,2,2,0,2,0,2,2,0,2,0,3,0,2,7.5999999,2,2.5,,2,1,1,0,0,0,1,1,1,2,2,2,2,.86792451
2079,176,1,20,3,1,1,0,0,0,4,0,4,0,0,0,0,0,0,2,1.6,0,2,0,2,1.6,0,2,0,3.75,0,2,1.2,0,0,,3,2,1,0,1,,0,1,0,2,2,1,,0
2080,176,1,28,2,1,4,0,15,120,7,0,4,0,0,0,0,0,0,2,1.6,0,1.2,0,2,1.6,0,1.2,0,4.25,.5,10,9.6000004,.5,0,2,4,1,1,0,0,0,1,0,0,2,2,1,1.6,0
2081,176,1,17,0,1,1,0,12,0,8,0,3,0,0,1,0,0,0,.40000001,2,0,0,0,.40000001,2,0,0,0,2,0,4,3,,,,,,,,,0,1,,,,,,0,.03773585
2082,176,1,18,2,1,2,0,2.5,0,2,0,3,0,0,1,0,0,0,1.2,1.6,.33333334,0,0,1.2,1.6,.33333334,0,0,3.5,.25,5,5.1999998,.5,0,,2,1,1,0,0,0,1,0,0,1.6,0,1,0,.11320755
2083,176,1,20,3,1,2,0,7,0,2,0,7,1,0,1,0,1,0,2,2,1,0,1,2,2,1,0,0,4.75,.75,3,2.896704,.5,0,,3,1,1,0,0,0,1,1,0,2,2,2,1.6,1.018868
2084,176,1,24,0,1,1,0,13,60,2,0,2,0,0,0,0,1,0,1.6,2,1.3333334,1.2,1,1.6,2,1.3333334,1.2,0,4.5,.5,,2.6666667,0,0,,2,,,,,1,1,,,,,,2,.52830189
2085,176,1,23,0,1,1,0,3.5,0,2,0,2,0,0,0,0,1,0,.80000001,1.6,.33333334,1.2,1,.80000001,1.6,.33333334,1.2,0,3.25,0,4,2.0668373,.5,0,1,2,1,1,0,0,0,1,0,0,1.6,2,1.3333334,2,.60377359
2086,176,1,25,1,1,1,0,2.5,0,3,0,5,1,0,0,0,0,0,2,1.6,.66666669,0,0,2,1.6,.66666669,0,0,3.25,.25,2,1.2,.5,0,2,3,1,1,0,0,0,1,1,0,1.6,2,1.3333334,.80000001,.3018868
2088,176,1,24,0,1,1,0,7,0,1,0,6,1,0,1,0,1,0,2,1.6,0,1.2,1,2,1.6,0,1.2,0,3.6666667,0,4,3,0,0,,,0,0,0,0,,1,0,0,2,2,1.6666666,,0
2089,176,1,25,2,1,1,0,5,0,4,0,3,0,0,0,0,1,0,2,1.6,0,0,1,2,1.6,0,0,0,3.5,0,5,4.2146235,1,0,,3,0,0,0,0,1,1,1,0,2,2,1.6666666,2,.4528302
2090,176,1,28,1,1,1,0,6,0,2,0,7,1,0,1,0,1,0,2,1.6,0,1.6,1,2,1.6,0,1.6,0,5.75,.75,8,8.2033682,1,0,,2,0,0,0,0,0,1,1,0,2,2,2,1.2,.64150941
2091,176,1,28,1,1,1,0,13,0,6,0,3,0,0,1,0,0,0,1.6,2,.33333334,.40000001,0,1.6,2,.33333334,.40000001,0,3.25,0,5,7.3804703,.5,0,,3,1,0,1,0,0,1,0,1,1.6,2,1.3333334,1.2,1.018868
2093,176,1,26,1,1,1,0,4,0,4,0,5,1,0,0,0,1,0,2,2,0,2,1,2,2,0,2,0,4.5,.5,5,5.25,0,0,,3,,,,,,,,,,,,,
2094,176,1,22,1,1,3,0,8,0,6,0,5,1,0,0,0,0,0,1.6,1.6,.33333334,0,0,1.6,1.6,.33333334,0,0,4.75,.5,4,4.8000002,1,1.5,,3,1,1,0,0,0,1,0,0,1.2,2,1.6666666,1.2,.41509435
2095,176,1,23,0,1,1,0,0,0,8,0,3,0,0,0,0,0,0,1.6,.80000001,0,.80000001,0,1.6,.80000001,0,.80000001,0,2,0,,,,,,,,,,,0,1,,,,,,2,.52830189
2096,176,1,20,1,1,3,0,28,360,10,0,5,1,0,2,0,0,1,1.6,1.6,1,2,0,1.6,1.6,1,2,1,5.3333335,1,2,3.3500359,0,0,2,3,1,1,0,0,0,1,0,0,2,2,2,1.2,.26415095
2097,176,1,22,1,1,1,0,0,0,7,0,4,0,0,1,0,1,0,2,2,1.3333334,1.2,1,2,2,1.3333334,1.2,0,4.5,.5,2,3.5999999,0,0,,3,2,1,0,1,0,1,1,0,1.6,2,1.3333334,2,.75471699
2098,176,1,20,0,1,1,0,14,0,3,0,4,0,0,0,0,0,0,1.6,.80000001,0,.40000001,0,1.6,.80000001,0,.40000001,0,3,0,3,1.8323163,1.5,0,,2,0,0,0,0,0,1,0,0,2,2,.66666669,.80000001,.52830189
2099,176,1,23,3,1,4,0,34,750,16,0,6,1,0,1,0,0,0,2,1.6,.33333334,1.6,0,2,1.6,.33333334,1.6,0,5.25,.75,7,13.315786,5,14,3,4,1,1,0,0,0,1,0,1,2,2,1.6666666,1.6,.49056605
2100,176,1,29,0,1,1,0,3,0,5,0,3,0,0,0,0,0,0,1.6,2,1,.80000001,0,1.6,2,1,.80000001,0,3,0,3,3,.5,0,2,1,0,0,0,0,0,1,0,1,1.6,2,1.3333334,1.6,.2264151
